id,parentid,topic,mid,birth_date,death_date,EOL
agent001,event134,Academie Julian,http://freebase.com/en/academie_julian,NA,NA,EOL
agent002,event455,Accademia di Belle Arti di Roma,https://www.freebase.com/m/0w7nht4,NA,NA,EOL
agent003,event263|event264|event265|event66|event67,Accademia di San Luca,http://freebase.com/en/accademia_di_san_luca,NA,NA,EOL
agent004,event241|event242,"Agucchi, Giovanni Battista",XXX,2/18/1404,4/20/1472,EOL
agent005,event104,"Alberti, Leone Battista",http://freebase.com/en/leone_battista_alberti,2/18/1404,4/20/1472,EOL
agent006,event188|event189|event190,Aldobrandini Family,http://freebase.com/en/aldobrandini,NA,NA,EOL
agent007,event181,"Aldobrandini, Cardinal Pietro",http://freebase.com/en/pietro_cardinal_aldobrandini,3/31/1571,2/10/1621,EOL
agent008,event547|event547,Alice Brady,http://freebase.com/en/alice_brady,11/2/1892,10/28/1939,EOL
agent009,event407|event408|event411|event411|event89|object112,Amnon,http://freebase.com/en/amnon,NA,NA,EOL
agent010,event3009,Andrea Rose,http://freebase.com/en/andrea_rose,XXX,XXX,EOL
agent011,event401,Anne Jephson,XXX,11/3/1560,7/15/1609,EOL
agent012,object49,Anne Madden,http://freebase.com/en/anne_madden,1932,Living,EOL
agent013,event36|event87,Ashmolean Museum,http://freebase.com/en/ashmolean_museum,NA,NA,EOL
agent014,event1302,"Bachardy, Don",http://freebase.com/en/don_bachardy,5/18/1934,--,EOL
agent015,event163,"Bacon, Francis",https://www.freebase.com/m/01d7g0,10/28/1909,4/28/1992,EOL
agent016,event106|event111|event112|event113|event202|object8,"Baldinucci, Filippo",http://freebase.com/en/filippo_baldinucci,1624,1/1/1697,EOL
agent017,event23|event24|object61|object50|object50,"Ballagh, Robert",http://freebase.com/en/robert_ballagh,9/22/1943,--,EOL
agent018,event3024|event3023|event3022|event3021|event3020|event3019|event3018|event3018|event3017|event3017,Barry Flanagan,http://freebase.com/en/barry_flanagan,1/11/1941,8/31/2009,EOL
agent019,event408|event409|event88|event89|event90|event91|event96|object112|object111,"Bartolozzi, Francesco",http://freebase.com/en/francesco_bartolozzi,9/25/1725,3/7/1815,EOL
agent020,object358,Basil Blackshaw,http://freebase.com/en/basil_blackshaw,1932,--,EOL
agent021,event161,Bath Academy of Art,http://freebase.com/en/bath_school_of_art_and_design,NA,NA,EOL
agent022,event168,Belfast School of Art,http://freebase.com/en/rosamund_praeger,1867,1954,EOL
agent023,event188|event204|event245|event246|event264|event265|object141,"Bellori, Giovanni Pietro",http://freebase.com/en/gian_pietro_bellori,1613,1696,EOL
agent024,event45|event46,"Blunt, Anthony",http://freebase.com/en/anthony_blunt,9/26/1907,3/26/1983,EOL
agent025,event98|event99,"Bodmer, Heinrich",XXX,1885,1950,EOL
agent026,event68,"Borghini, Raffaello",XXX,1537,1588,EOL
agent027,event2011|object614,"Boudin, Eugene",http://freebase.com/en/eugene_boudin,7/12/1824,8/8/1898,EOL
agent028,event1303,"Brandt, Bill",http://freebase.com/en/bill_brandt,5/3/1904,12/20/1983,EOL
agent029,event1032|event1300|object502,"Braque, Georges",http://freebase.com/en/georges_braque,5/13/1882,8/31/1963,EOL
agent030,object359,Brian King,https://www.freebase.com/m/0wbbkqj,1942,--,EOL
agent031,event551,Bristol Police,http://freebase.com/en/port_of_bristol_police,NA,NA,EOL
agent032,event215|event216,British Ambassador to Germany,http://freebase.com/en/peter_torry,8/2/1948,XXX,EOL
agent033,event543|event166|event178,British Army,http://freebase.com/en/army_dept,NA,NA,EOL
agent034,event541,British Cavalry,http://freebase.com/en/british_1st_cavalry_division,NA,NA,EOL
agent035,event548|event544,British Crown Forces,http://freebase.com/en/army_dept,NA,NA,EOL
agent036,event256|event257|event258|event259,"Browne, George Ulick",XXX,9/1/1856,2/26/1935,EOL
agent037,event260|event261,"Browne, Henry Ulick",XXX,3/14/1831,2/24/1913,EOL
agent038,event102|event103,"Brunelleschi, Filippo",http://freebase.com/en/filippo_brunelleschi,1377,4/15/1446,EOL
agent039,object702|object702,"Burke, John",http://www.freebase.com/m/03c9plb,1946,2006,EOL
agent040,event205,"Calvi, Jacopo Alessandro",https://www.freebase.com/m/0wb9nhj,2/23/1740,5/15/1815,EOL
agent041,object362|object361,Camille Souter,http://freebase.com/en/camille_souter,1929,XXX,EOL
agent042,event505B|event506B|event507|object708,"Campbell, George",http://www.freebase.com/m/0pl1zr6,7/29/1917,1979,EOL
agent043,event400|event401|event402,"Casement, Roger",https://www.freebase.com/m/06f1w,9/1/1864,8/3/1916,EOL
agent044,event47|event49,Caravaggio,http://freebase.com/en/caravaggio,9/29/1571,7/18/1610,EOL
agent045,event181|event182|event183|event188|event262|event403|event80|event93|event94|object135,"Carracci, Annibale",http://freebase.com/en/annibale_carracci,11/3/1560,7/15/1609,EOL
agent046,object363,Cecil King,http://freebase.com/en/cecil_king,2/22/1921,4/7/1986,EOL
agent047,event151|event186,"Cecilia, Saint",http://freebase.com/en/saint_cecilia,XXX,XXX,EOL
agent048,event69|object130,Cesare Ripa,http://freebase.com/en/cesare_ripa,1560,1622,EOL
agent049,event3007,Charles Saatchi,http://freebase.com/en/charles_saatchi,6/9/1943,XXX,EOL
agent050,event44,Christie's Fine Art Auctioneers,XXX,NA,NA,EOL
agent051,event1005,"Churchill, Winston",http://freebase.com/en/winston_churchill,11/30/1874,1/24/1965,EOL
agent052,event192|event219|event220|event33|event33|event34|event35|event36|event37|event38|event39|object104,"Clark, Kenneth",http://freebase.com/en/kenneth_clark,7/13/1903,5/21/1983,EOL
