id,objectid,Creator Name,dob - day,dob - month,dob - year,approx,death - day,death - month,death - year,approx,,EOL
objectcreator41e,object526,Mainie Jellett,,,1897,,,,1944,,object522|object523|object524|object525|object526|object527|object705|object706,EOL
objectcreator41f,object527,Mainie Jellett,,,1897,,,,1944,,object522|object523|object524|object525|object526|object527|object705|object706,EOL
objectcreator41g,object705,Mainie Jellett,,,1897,,,,1944,,object522|object523|object524|object525|object526|object527|object705|object706,EOL
objectcreator41,object706,Mainie Jellett,,,1897,,,,1944,,object522|object523|object524|object525|object526|object527|object705|object706,EOL
objectcreator42,object301,William Orpen,,,1878,,,,1931,,,EOL
objectcreator55,object355,Brian O'Doherty,,,1928,,,,,,object355|object360,EOL
objectcreator55b,object360,Brian O'Doherty,,,1928,,,,,,object355|object360,EOL
objectcreator56,object356,Niamh McCann,,,,,,,,,object356,EOL
objectcreator57,object357,Tim Mara,,,1948,,,,1997,,object357,EOL
objectcreator58,object49,Anne Madden,,,1932,,,,,,object49,EOL
objectcreator59,object358,Basil Blackshaw,,,1932,,,,,,object358,EOL
objectcreator60,object359,Brian King,,,1942,,,,,,object359,EOL
objectcreator62,object361,Camille Souter,,,1929,,,,,,object361|object362,EOL
objectcreator62b,object362,Camille Souter,,,1929,,,,,,object361|object362,EOL
objectcreator64,object363,Cecil King,,,1921,,,,1986,,object363,EOL
objectcreator65,object364,Deborah Brown ,,,1927,,,,,,object364,EOL
objectcreator66,object365,Edward McGuire,,,1932,,,,1986,,object365,EOL
objectcreator67,object366,Eva Rothschild,,,1972,,,,,,object366,EOL
objectcreator68,object367,Gerard Dillon,,,1916,,,,1971,,object367,EOL
objectcreator69,object368,Hannah Starkey,,,1971,,,,,,object368,EOL
objectcreator70,object501,Louis le Brocquy,,,1916,,,,2012,,object701,EOL
objectcreator71,object502,Georges Braque,,,1882,,,,1963,,,EOL
objectcreator72,object503,Albert Gleizes,,,1881,,,,1953,,object521,EOL
objectcreator73,object512,Luca Giordano,,,1634,,,,1705,,object512|object513|object514|object515|object516|object517|object518|object519|object520,EOL
objectcreator73b,object513,Luca Giordano,,,1634,,,,1705,,object512|object513|object514|object515|object516|object517|object518|object519|object520,EOL
objectcreator73c,object514,Luca Giordano,,,1634,,,,1705,,object512|object513|object514|object515|object516|object517|object518|object519|object520,EOL
objectcreator73d,object515,Luca Giordano,,,1634,,,,1705,,object512|object513|object514|object515|object516|object517|object518|object519|object520,EOL
objectcreator73e,object516,Luca Giordano,,,1634,,,,1705,,object512|object513|object514|object515|object516|object517|object518|object519|object520,EOL
objectcreator73f,object517,Luca Giordano,,,1634,,,,1705,,object512|object513|object514|object515|object516|object517|object518|object519|object520,EOL
objectcreator73g,object518,Luca Giordano,,,1634,,,,1705,,object512|object513|object514|object515|object516|object517|object518|object519|object520,EOL
objectcreator73h,object519,Luca Giordano,,,1634,,,,1705,,object512|object513|object514|object515|object516|object517|object518|object519|object520,EOL
objectcreator73i,object520,Luca Giordano,,,1634,,,,1705,,object512|object513|object514|object515|object516|object517|object518|object519|object520,EOL
objectcreator73j,object504,Luca Giordano,,,1634,,,,1705,,object512|object513|object514|object515|object516|object517|object518|object519|object520,EOL
objectcreator74,object506,Domenichino,,,1581,,,,1641,,object508,EOL
objectcreator74b,object508,Domenichino,,,1581,,,,1641,,object508,EOL
objectcreator75,object511,Guido Reni,,,1575,,,,1642,,,EOL
objectcreator76,object505,Bartolomeo Schedoni,,,1578,,,,1615,,,EOL
objectcreator77,object601,Claude Monet,14,11,1840,,5,12,1926,,object602|object603|object604|object605|object606|object607|object609|object612|object615,EOL
objectcreator77b,object602,Claude Monet,14,11,1840,,5,12,1926,,object602|object603|object604|object605|object606|object607|object609|object612|object615,EOL
objectcreator77c,object603,Claude Monet,14,11,1840,,5,12,1926,,object602|object603|object604|object605|object606|object607|object609|object612|object615,EOL
objectcreator77d,object604,Claude Monet,14,11,1840,,5,12,1926,,object602|object603|object604|object605|object606|object607|object609|object612|object615,EOL
objectcreator77e,object605,Claude Monet,14,11,1840,,5,12,1926,,object602|object603|object604|object605|object606|object607|object609|object612|object615,EOL
objectcreator77f,object606,Claude Monet,14,11,1840,,5,12,1926,,object602|object603|object604|object605|object606|object607|object609|object612|object615,EOL
objectcreator77g,object607,Claude Monet,14,11,1840,,5,12,1926,,object602|object603|object604|object605|object606|object607|object609|object612|object615,EOL
objectcreator77h,object608,Claude Monet,14,11,1840,,5,12,1926,,object602|object603|object604|object605|object606|object607|object609|object612|object615,EOL
objectcreator77i,object612,Claude Monet,14,11,1840,,5,12,1926,,object602|object603|object604|object605|object606|object607|object609|object612|object615,EOL
objectcreator77j,object615,Claude Monet,14,11,1840,,5,12,1926,,object602|object603|object604|object605|object606|object607|object609|object612|object615,EOL
objectcreator78j,object608,Jean-Francois Millet,4,10,1814,,20,1,1875,,object608,EOL
objectcreator79k,object610,Édouard Manet,23,1,1832,,30,4,1883,,object610,EOL
objectcreator80,object611,Nadar (Gaspard-Félix Tournachon),6,4,1820,,21,4,1910,,object611,EOL
objectcreator81,object613,Nicolas Poussin,,,1594,,,,1665,,,EOL
objectcreator82,object614,Eugene Boudin,,,1824,,,,1898,,,EOL
objectcreator83,object63,"Collins, Patrick",,,1910,,,,1944,,object63,EOL
objectcreator84,object64,"Cruz-Diez, Carlos",,,1923,,,,,,object64,EOL
objectcreator85,object702,"Burke, John",,,1946,,,,2006,,object702|object707,EOL
objectcreator85b,object707,"Burke, John",,,1946,,,,2006,,object702|object707,EOL
objectcreator86,object65,"Dias, Antonio",,,1944,,,,,,object65,EOL
objectcreator87,object703,Irish Museum of Modern Art,,,1990,,,,,,object703,EOL
